From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
ERF3A_MOUSE	Q8R050	ERF3A_MOUSE	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (EC 3.6.5.-) (G1 to S phase transition protein 1 homolog)	Gspt1 Erf3a	Mus musculus (Mouse)	636
FBRL_MOUSE	P35550	FBRL_MOUSE	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (Nucleolar protein 1) (U6 snRNA 2'-O-methyltransferase fibrillarin)	Fbl	Mus musculus (Mouse)	327
FKBP9_MOUSE	Q9Z247	FKBP9_MOUSE	Peptidyl-prolyl cis-trans isomerase FKBP9 (PPIase FKBP9) (EC 5.2.1.8) (63 kDa FK506-binding protein) (63 kDa FKBP) (FKBP-63) (FK506-binding protein 9) (FKBP-9) (FKBP65RS) (Rotamase)	Fkbp9 Fkbp60 Fkbp63	Mus musculus (Mouse)	570
FUS_MOUSE	P56959	FUS_MOUSE	RNA-binding protein FUS (Protein pigpen)	Fus	Mus musculus (Mouse)	518
GDIR1_MOUSE	Q99PT1	GDIR1_MOUSE	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (GDI-1) (Rho-GDI alpha)	Arhgdia C87222 Gdi1	Mus musculus (Mouse)	204
GDIR2_MOUSE	Q61599	GDIR2_MOUSE	Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (D4) (Rho-GDI beta)	Arhgdib Gdid4	Mus musculus (Mouse)	200
GLSK_MOUSE	D3Z7P3	GLSK_MOUSE	Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]	Gls Gls1 Kiaa0838	Mus musculus (Mouse)	674
GNAI2_MOUSE	P08752	GNAI2_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	Gnai2 Gnai-2	Mus musculus (Mouse)	355
GNS_MOUSE	Q8BFR4	GNS_MOUSE	N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S)	Gns	Mus musculus (Mouse)	544
GRPE1_MOUSE	Q99LP6	GRPE1_MOUSE	GrpE protein homolog 1, mitochondrial (Mt-GrpE#1)	Grpel1	Mus musculus (Mouse)	217
GT251_MOUSE	Q8K297	GT251_MOUSE	Procollagen galactosyltransferase 1 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 1) (Glycosyltransferase 25 family member 1) (Hydroxylysine galactosyltransferase 1)	Colgalt1 Glt25d1	Mus musculus (Mouse)	617
GUAA_MOUSE	Q3THK7	GUAA_MOUSE	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	Gmps	Mus musculus (Mouse)	693
H2A2A_MOUSE	Q6GSS7	H2A2A_MOUSE	Histone H2A type 2-A (H2a-614) (H2a-615) (Histone H2A.2)	Hist2h2aa1; Hist2h2aa2	Mus musculus (Mouse)	130
HA1K_MOUSE	P04223	HA1K_MOUSE	H-2 class I histocompatibility antigen, K-K alpha chain (H-2K(K))	H2-K1 H2-K	Mus musculus (Mouse)	369
HCD2_MOUSE	O08756	HCD2_MOUSE	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	Hsd17b10 Erab Hadh2	Mus musculus (Mouse)	261
HNRL1_MOUSE	Q8VDM6	HNRL1_MOUSE	Heterogeneous nuclear ribonucleoprotein U-like protein 1	Hnrnpul1 Hnrpul1	Mus musculus (Mouse)	859
ILF2_MOUSE	Q9CXY6	ILF2_MOUSE	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	Ilf2 Nf45	Mus musculus (Mouse)	390
IPO7_MOUSE	Q9EPL8	IPO7_MOUSE	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	Ipo7 Ranbp7	Mus musculus (Mouse)	1038
IPO9_MOUSE	Q91YE6	IPO9_MOUSE	Importin-9 (Imp9) (Importin-9a) (Imp9a) (Importin-9b) (Imp9b) (Ran-binding protein 9) (RanBP9)	Ipo9 Imp9 Ranbp9	Mus musculus (Mouse)	1041
KAD3_MOUSE	Q9WTP7	KAD3_MOUSE	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)	Ak3 Ak3l Ak3l1 Akl3l	Mus musculus (Mouse)	227
KAP0_MOUSE	Q9DBC7	KAP0_MOUSE	cAMP-dependent protein kinase type I-alpha regulatory subunit [Cleaved into: cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed]	Prkar1a	Mus musculus (Mouse)	381
KHDR1_MOUSE	Q60749	KHDR1_MOUSE	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	Khdrbs1	Mus musculus (Mouse)	443
LAP2B_MOUSE	Q61029	LAP2B_MOUSE	Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma (Thymopoietin isoforms beta/delta/epsilon/gamma) (TP beta/delta/epsilon/gamma)	Tmpo Lap2	Mus musculus (Mouse)	452
LGUL_MOUSE	Q9CPU0	LGUL_MOUSE	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	Glo1	Mus musculus (Mouse)	184
LIPL_MOUSE	P11152	LIPL_MOUSE	Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32)	Lpl	Mus musculus (Mouse)	474
LMAN1_MOUSE	Q9D0F3	LMAN1_MOUSE	Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Lectin mannose-binding 1) (p58)	Lman1 Ergic53	Mus musculus (Mouse)	517
MAOM_MOUSE	Q99KE1	MAOM_MOUSE	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	Me2	Mus musculus (Mouse)	589
MAP4_MOUSE	P27546	MAP4_MOUSE	Microtubule-associated protein 4 (MAP-4)	Map4 Mtap4	Mus musculus (Mouse)	1125
MBNL1_MOUSE	Q9JKP5	MBNL1_MOUSE	Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein)	Mbnl1 Exp Mbnl	Mus musculus (Mouse)	341
MPPA_MOUSE	Q9DC61	MPPA_MOUSE	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)	Pmpca Inpp5e	Mus musculus (Mouse)	524
MPRIP_MOUSE	P97434	MPRIP_MOUSE	Myosin phosphatase Rho-interacting protein (Rho-interacting protein 3) (RIP3) (p116Rip)	Mprip Kiaa0864 Mrip Rhoip3	Mus musculus (Mouse)	1024
MTAP_MOUSE	Q9CQ65	MTAP_MOUSE	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	Mtap	Mus musculus (Mouse)	283
MYPT1_MOUSE	Q9DBR7	MYPT1_MOUSE	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1)	Ppp1r12a Mypt1	Mus musculus (Mouse)	1029
NACAM_MOUSE	P70670	NACAM_MOUSE	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	Naca Gm1878	Mus musculus (Mouse)	2187
NB5R1_MOUSE	Q9DB73	NB5R1_MOUSE	NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)	Cyb5r1 Nqo3a2	Mus musculus (Mouse)	305
NCAM1_MOUSE	P13595	NCAM1_MOUSE	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)	Ncam1 Ncam	Mus musculus (Mouse)	1115
NDKB_MOUSE	Q01768	NDKB_MOUSE	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (Histidine protein kinase NDKB) (EC 2.7.13.3) (P18) (nm23-M2)	Nme2	Mus musculus (Mouse)	152
NDUAA_MOUSE	Q99LC3	NDUAA_MOUSE	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	Ndufa10	Mus musculus (Mouse)	355
NPC2_MOUSE	Q9Z0J0	NPC2_MOUSE	NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (mE1) (Niemann Pick type C2 protein homolog)	Npc2	Mus musculus (Mouse)	149
ODO2_MOUSE	Q9D2G2	ODO2_MOUSE	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)	Dlst	Mus musculus (Mouse)	454
ODP2_MOUSE	Q8BMF4	ODP2_MOUSE	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	Dlat	Mus musculus (Mouse)	642
OTUB1_MOUSE	Q7TQI3	OTUB1_MOUSE	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (Ubiquitin-specific-processing protease OTUB1)	Otub1	Mus musculus (Mouse)	271
PDLI1_MOUSE	O70400	PDLI1_MOUSE	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	Pdlim1 Clim1	Mus musculus (Mouse)	327
PDLI5_MOUSE	Q8CI51	PDLI5_MOUSE	PDZ and LIM domain protein 5 (Enigma homolog) (Enigma-like PDZ and LIM domains protein)	Pdlim5 Enh	Mus musculus (Mouse)	591
PP2AA_MOUSE	P63330	PP2AA_MOUSE	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16)	Ppp2ca	Mus musculus (Mouse)	309
PRDX3_MOUSE	P20108	PRDX3_MOUSE	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.24) (Antioxidant protein 1) (AOP-1) (PRX III) (Perioredoxin-3) (Protein MER5) (Thioredoxin-dependent peroxiredoxin 3)	Prdx3 Aop1 Mer5	Mus musculus (Mouse)	257
PRDX5_MOUSE	P99029	PRDX5_MOUSE	Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 2D-0014IV) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)	Prdx5 Prdx6	Mus musculus (Mouse)	210
PRS6A_MOUSE	O88685	PRS6A_MOUSE	26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Tat-binding protein 1) (TBP-1)	Psmc3 Tbp1	Mus musculus (Mouse)	442
PSA2_MOUSE	P49722	PSA2_MOUSE	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	Psma2 Lmpc3	Mus musculus (Mouse)	234
PSA3_MOUSE	O70435	PSA3_MOUSE	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit K)	Psma3	Mus musculus (Mouse)	255
PSB2_MOUSE	Q9R1P3	PSB2_MOUSE	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)	Psmb2	Mus musculus (Mouse)	201
PSMD6_MOUSE	Q99JI4	PSMD6_MOUSE	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (p42A)	Psmd6	Mus musculus (Mouse)	389
PSMD7_MOUSE	P26516	PSMD7_MOUSE	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein) (Proteasome subunit p40)	Psmd7 Mov-34 Mov34	Mus musculus (Mouse)	321
PSME2_MOUSE	P97372	PSME2_MOUSE	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)	Psme2 Pa28b1	Mus musculus (Mouse)	239
PUF60_MOUSE	Q3UEB3	PUF60_MOUSE	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor)	Puf60 Siahbp1	Mus musculus (Mouse)	564
QCR7_MOUSE	Q9D855	QCR7_MOUSE	Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)	Uqcrb	Mus musculus (Mouse)	111
RAB18_MOUSE	P35293	RAB18_MOUSE	Ras-related protein Rab-18	Rab18	Mus musculus (Mouse)	206
RAB2A_MOUSE	P53994	RAB2A_MOUSE	Ras-related protein Rab-2A (EC 3.6.5.2)	Rab2a Rab2	Mus musculus (Mouse)	212
RBM39_MOUSE	Q8VH51	RBM39_MOUSE	RNA-binding protein 39 (Coactivator of activating protein 1 and estrogen receptors) (Coactivator of AP-1 and ERs) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2)	Rbm39 Caper Rnpc2	Mus musculus (Mouse)	530
RD23B_MOUSE	P54728	RD23B_MOUSE	UV excision repair protein RAD23 homolog B (HR23B) (mHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	Rad23b Mhr23b	Mus musculus (Mouse)	416
RL1D1_MOUSE	Q8BVY0	RL1D1_MOUSE	Ribosomal L1 domain-containing protein 1	Rsl1d1	Mus musculus (Mouse)	452
RL21_MOUSE	O09167	RL21_MOUSE	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	Rpl21	Mus musculus (Mouse)	160
RL24_MOUSE	Q8BP67	RL24_MOUSE	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	Rpl24	Mus musculus (Mouse)	157
RL28_MOUSE	P41105	RL28_MOUSE	Large ribosomal subunit protein eL28 (60S ribosomal protein L28)	Rpl28	Mus musculus (Mouse)	137
RL31_MOUSE	P62900	RL31_MOUSE	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	Rpl31	Mus musculus (Mouse)	125
RS12_MOUSE	P63323	RS12_MOUSE	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)	Rps12	Mus musculus (Mouse)	132
RS15A_MOUSE	P62245	RS15A_MOUSE	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	Rps15a	Mus musculus (Mouse)	130
RS25_MOUSE	P62852	RS25_MOUSE	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	Rps25	Mus musculus (Mouse)	125
RTCB_MOUSE	Q99LF4	RTCB_MOUSE	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase) (Focal adhesion-associated protein) (FAAP)	Rtcb D10Wsu52e	Mus musculus (Mouse)	505
RU2A_MOUSE	P57784	RU2A_MOUSE	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	Snrpa1	Mus musculus (Mouse)	255
RU2B_MOUSE	Q9CQI7	RU2B_MOUSE	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	Snrpb2	Mus musculus (Mouse)	225
SC22B_MOUSE	O08547	SC22B_MOUSE	Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1) (mSec22b)	Sec22b Sec22l1	Mus musculus (Mouse)	215
SC23B_MOUSE	Q9D662	SC23B_MOUSE	Protein transport protein Sec23B (SEC23-related protein B)	Sec23b	Mus musculus (Mouse)	767
SCFD1_MOUSE	Q8BRF7	SCFD1_MOUSE	Sec1 family domain-containing protein 1 (Syntaxin-binding protein 1-like 2)	Scfd1 Stxbp1l2	Mus musculus (Mouse)	639
SDHB_MOUSE	Q9CQA3	SDHB_MOUSE	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)	Sdhb	Mus musculus (Mouse)	282
SF3A3_MOUSE	Q9D554	SF3A3_MOUSE	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	Sf3a3 Sap61	Mus musculus (Mouse)	501
SNX2_MOUSE	Q9CWK8	SNX2_MOUSE	Sorting nexin-2	Snx2	Mus musculus (Mouse)	519
SORCN_MOUSE	Q6P069	SORCN_MOUSE	Sorcin	Sri	Mus musculus (Mouse)	198
SRSF6_MOUSE	Q3TWW8	SRSF6_MOUSE	Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)	Srsf6 Sfrs6 Srp55	Mus musculus (Mouse)	339
SSRD_MOUSE	Q62186	SSRD_MOUSE	Translocon-associated protein subunit delta (TRAP-delta) (Signal sequence receptor subunit delta) (SSR-delta)	Ssr4	Mus musculus (Mouse)	172
STAT1_MOUSE	P42225	STAT1_MOUSE	Signal transducer and activator of transcription 1	Stat1	Mus musculus (Mouse)	749
TBB1_MOUSE	A2AQ07	TBB1_MOUSE	Tubulin beta-1 chain	Tubb1	Mus musculus (Mouse)	451
TENS3_MOUSE	Q5SSZ5	TENS3_MOUSE	Tensin-3 (EC 3.1.3.-) (Tensin-like SH2 domain-containing protein 1)	Tns3 Tens1	Mus musculus (Mouse)	1440
TFR1_MOUSE	Q62351	TFR1_MOUSE	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (CD antigen CD71)	Tfrc Trfr	Mus musculus (Mouse)	763
TIM50_MOUSE	Q9D880	TIM50_MOUSE	Mitochondrial import inner membrane translocase subunit TIM50	Timm50 Tim50	Mus musculus (Mouse)	353
TMEDA_MOUSE	Q9D1D4	TMEDA_MOUSE	Transmembrane emp24 domain-containing protein 10 (Protein Tmed10) (21 kDa transmembrane-trafficking protein) (Transmembrane protein Tmp21) (p24 family protein delta-1) (p24delta1)	Tmed10 Tmp21	Mus musculus (Mouse)	219
TOM70_MOUSE	Q9CZW5	TOM70_MOUSE	Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)	Tomm70 D16Wsu109e Tomm70a	Mus musculus (Mouse)	611
UB2L3_MOUSE	P68037	UB2L3_MOUSE	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (UbcM4) (Ubiquitin carrier protein L3) (Ubiquitin-protein ligase L3)	Ube2l3 Ubce7	Mus musculus (Mouse)	154
UBP14_MOUSE	Q9JMA1	UBP14_MOUSE	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	Usp14	Mus musculus (Mouse)	493
UGPA_MOUSE	Q91ZJ5	UGPA_MOUSE	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	Ugp2	Mus musculus (Mouse)	508
VAPA_MOUSE	Q9WV55	VAPA_MOUSE	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	Vapa Vap33	Mus musculus (Mouse)	249
XPP1_MOUSE	Q6P1B1	XPP1_MOUSE	Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)	Xpnpep1	Mus musculus (Mouse)	623
ZO1_MOUSE	P39447	ZO1_MOUSE	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	Tjp1 Zo1	Mus musculus (Mouse)	1745
ACOT1_MOUSE	O55137	ACOT1_MOUSE	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.-) (CTE-I) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase) (Palmitoyl-coenzyme A thioesterase) (EC 3.1.2.2)	Acot1 Cte1	Mus musculus (Mouse)	419
AIMP2_MOUSE	Q8R010	AIMP2_MOUSE	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	Aimp2 Jtv1	Mus musculus (Mouse)	320
AMRP_MOUSE	P55302	AMRP_MOUSE	Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Heparin-binding protein 44) (HBP-44) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP)	Lrpap1	Mus musculus (Mouse)	360
AN32E_MOUSE	P97822	AN32E_MOUSE	Acidic leucine-rich nuclear phosphoprotein 32 family member E (Cerebellar postnatal development protein 1) (LANP-like protein) (LANP-L)	Anp32e Cpd1	Mus musculus (Mouse)	260
ARPC5_MOUSE	Q9CPW4	ARPC5_MOUSE	Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)	Arpc5	Mus musculus (Mouse)	151
ATP5L_MOUSE	Q9CPQ8	ATP5L_MOUSE	ATP synthase subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)	Atp5mg Atp5l	Mus musculus (Mouse)	103
C1QBP_MOUSE	O35658	C1QBP_MOUSE	Complement component 1 Q subcomponent-binding protein, mitochondrial (GC1q-R protein) (Glycoprotein gC1qBP) (C1qBP)	C1qbp Gc1qbp	Mus musculus (Mouse)	278
CBX5_MOUSE	Q61686	CBX5_MOUSE	Chromobox protein homolog 5 (Heterochromatin protein 1 homolog alpha) (HP1 alpha)	Cbx5 Hp1a	Mus musculus (Mouse)	191
CLCA_MOUSE	O08585	CLCA_MOUSE	Clathrin light chain A (Lca)	Clta	Mus musculus (Mouse)	235
CNN2_MOUSE	Q08093	CNN2_MOUSE	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)	Cnn2	Mus musculus (Mouse)	305
COTL1_MOUSE	Q9CQI6	COTL1_MOUSE	Coactosin-like protein	Cotl1 Clp	Mus musculus (Mouse)	142
CSK21_MOUSE	Q60737	CSK21_MOUSE	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	Csnk2a1 Ckiia	Mus musculus (Mouse)	391
CSN5_MOUSE	O35864	CSN5_MOUSE	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1) (Kip1 C-terminus-interacting protein 2)	Cops5 Csn5 Jab1 Kic2	Mus musculus (Mouse)	334
CSRP1_MOUSE	P97315	CSRP1_MOUSE	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1)	Csrp1 Crp1 Csrp	Mus musculus (Mouse)	193
CTL2_MOUSE	Q8BY89	CTL2_MOUSE	Choline transporter-like protein 2 (Solute carrier family 44 member 2)	Slc44a2 Ctl2	Mus musculus (Mouse)	706
CXAR_MOUSE	P97792	CXAR_MOUSE	Coxsackievirus and adenovirus receptor homolog (CAR) (mCAR)	Cxadr Car	Mus musculus (Mouse)	365
CYTB_MOUSE	Q62426	CYTB_MOUSE	Cystatin-B (Stefin-B)	Cstb Cst6 Stfb	Mus musculus (Mouse)	98
DEK_MOUSE	Q7TNV0	DEK_MOUSE	Protein DEK	Dek	Mus musculus (Mouse)	380
DEST_MOUSE	Q9R0P5	DEST_MOUSE	Destrin (Actin-depolymerizing factor) (ADF) (Sid 23)	Dstn Dsn Sid23	Mus musculus (Mouse)	165
DNJC8_MOUSE	Q6NZB0	DNJC8_MOUSE	DnaJ homolog subfamily C member 8	Dnajc8	Mus musculus (Mouse)	253
DX39B_MOUSE	Q9Z1N5	DX39B_MOUSE	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56) (HLA-B-associated transcript 1 protein)	Ddx39b Bat1 Bat1a Uap56	Mus musculus (Mouse)	428
ECI1_MOUSE	P42125	ECI1_MOUSE	Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)	Eci1 Dci	Mus musculus (Mouse)	289
EEA1_MOUSE	Q8BL66	EEA1_MOUSE	Early endosome antigen 1	Eea1	Mus musculus (Mouse)	1411
EIF3H_MOUSE	Q91WK2	EIF3H_MOUSE	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	Eif3h Eif3s3	Mus musculus (Mouse)	352
ERF1_MOUSE	Q8BWY3	ERF1_MOUSE	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1)	Etf1	Mus musculus (Mouse)	437
ERP29_MOUSE	P57759	ERP29_MOUSE	Endoplasmic reticulum resident protein 29 (ERp29)	Erp29	Mus musculus (Mouse)	262
ESYT1_MOUSE	Q3U7R1	ESYT1_MOUSE	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)	Esyt1 Fam62a Mbc2	Mus musculus (Mouse)	1092
EWS_MOUSE	Q61545	EWS_MOUSE	RNA-binding protein EWS	Ewsr1 Ews Ewsh	Mus musculus (Mouse)	655
FBLL1_MOUSE	Q80WS3	FBLL1_MOUSE	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 (EC 2.1.1.-) (Protein-glutamine methyltransferase)	Fbll1	Mus musculus (Mouse)	314
FEN1_MOUSE	P39749	FEN1_MOUSE	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	Fen1 Fen-1	Mus musculus (Mouse)	378
